Iter: 0, D: 1.456, G:0.6719
Iter: 21500, D: 1.28, G:0.8422
Iter: 21750, D: 1.343, G:1.075
Iter: 22000, D: 1.298, G:0.8003
Iter: 22250, D: 1.313, G:0.8195
Iter: 22500, D: 1.287, G:0.7985
Iter: 22750, D: 1.353, G:0.8465
Iter: 23000, D: 1.249, G:0.8199
Iter: 23250, D: 1.299, G:0.7307
Iter: 23500, D: 1.337, G:0.8548
Iter: 23750, D: 1.221, G:1.039
Iter: 24000, D: 1.247, G:0.8932
Iter: 24250, D: 1.332, G:0.7552
Iter: 24500, D: 1.336, G:0.745
Iter: 24750, D: 1.45, G:1.092
Iter: 25000, D: 1.306, G:0.7828
Iter: 25250, D: 1.247, G:0.8726
Iter: 25500, D: 1.294, G:0.7649
Iter: 25750, D: 1.388, G:0.7442
Iter: 26000, D: 1.331, G:0.7737
Iter: 26250, D: 1.344, G:0.9091
Iter: 26500, D: 1.304, G:0.8102
Iter: 26750, D: 1.375, G:0.7798
Iter: 27000, D: 1.374, G:0.7978
Iter: 27250, D: 1.36, G:0.8003
Iter: 27500, D: 1.259, G:0.8748
Iter: 27750, D: 1.329, G:0.9533
Iter: 28000, D: 1.268, G:0.8443
Iter: 28250, D: 1.369, G:0.8654
Iter: 28500, D: 1.329, G:0.8332
Iter: 28750, D: 1.216, G:0.8728
Iter: 29000, D: 1.319, G:0.9291
Iter: 29250, D: 1.218, G:0.9897
Iter: 29500, D: 1.415, G:0.8055
Iter: 29750, D: 1.318, G:0.8073
Iter: 30000, D: 1.248, G:0.8688
Iter: 30250, D: 1.244, G:0.9261
Iter: 30500, D: 1.207, G:0.9086
Iter: 30750, D: 1.279, G:0.9385
Iter: 31000, D: 1.291, G:0.9505
Iter: 31250, D: 1.294, G:0.9494
Iter: 31500, D: 1.265, G:0.9699
Iter: 31750, D: 1.338, G:0.7846
Iter: 32000, D: 1.266, G:0.9787
Iter: 32250, D: 1.307, G:0.8615
Iter: 32500, D: 1.285, G:0.8507
Iter: 32750, D: 1.382, G:0.831
Iter: 33000, D: 1.303, G:0.9157
Iter: 33250, D: 1.372, G:0.8721
Iter: 33500, D: 1.237, G:0.7775
Iter: 33750, D: 1.437, G:0.7815
Iter: 34000, D: 1.29, G:0.9167
Iter: 34250, D: 1.262, G:0.9867
Iter: 34500, D: 1.302, G:0.892
Iter: 34750, D: 1.291, G:0.884
Iter: 35000, D: 1.303, G:0.8889
Iter: 35250, D: 1.313, G:0.7118
Iter: 35500, D: 1.308, G:0.7353
Iter: 35750, D: 1.268, G:0.8813
Iter: 36000, D: 1.325, G:1.002
Iter: 36250, D: 1.252, G:0.9688
Iter: 36500, D: 1.276, G:0.831
Iter: 36750, D: 1.307, G:0.7692
Iter: 37000, D: 1.27, G:0.8747
Iter: 37250, D: 1.378, G:0.768
Iter: 37500, D: 1.296, G:0.9362
Iter: 37750, D: 1.167, G:1.023
Iter: 38000, D: 1.331, G:0.8039
Iter: 38250, D: 1.245, G:0.7686
Iter: 38500, D: 1.415, G:0.941
Iter: 38750, D: 1.244, G:0.9086
Iter: 39000, D: 1.278, G:0.8065
Iter: 39250, D: 1.292, G:0.9165
Iter: 39500, D: 1.544, G:0.8863
Iter: 39750, D: 1.292, G:0.9271
Iter: 40000, D: 1.292, G:1.099
Iter: 40250, D: 1.355, G:0.82
Iter: 40500, D: 1.304, G:0.8759
Iter: 40750, D: 1.34, G:0.9675
Iter: 41000, D: 1.353, G:0.8514
Iter: 41250, D: 1.322, G:1.12
Iter: 41500, D: 1.306, G:0.806
Iter: 41750, D: 1.295, G:0.9054
Iter: 42000, D: 1.254, G:0.8647
Iter: 42250, D: 1.306, G:0.8404
Iter: 42500, D: 1.296, G:0.9791
Iter: 42750, D: 1.324, G:0.8633
Iter: 43000, D: 1.271, G:0.9264
Iter: 43250, D: 1.197, G:0.9306
Iter: 43500, D: 1.295, G:0.7841
Iter: 43750, D: 1.247, G:0.9385
Iter: 44000, D: 1.219, G:0.9653
Iter: 44250, D: 1.175, G:1.055
Iter: 44500, D: 1.272, G:0.8745
Iter: 44750, D: 1.278, G:0.9165
Iter: 45000, D: 1.346, G:0.9303
Iter: 45250, D: 1.227, G:0.9809
Iter: 45500, D: 1.299, G:0.9274
Iter: 45750, D: 1.274, G:1.098
Iter: 46000, D: 1.25, G:0.9255
Iter: 46250, D: 1.255, G:0.8301
Iter: 46500, D: 1.229, G:0.7929
Iter: 46750, D: 1.226, G:0.8427
Iter: 47000, D: 1.285, G:0.9588
Iter: 47250, D: 1.251, G:0.8378
Iter: 47500, D: 1.31, G:0.8806
Iter: 47750, D: 1.268, G:0.9193
Iter: 48000, D: 1.344, G:0.8508
Iter: 48250, D: 1.276, G:0.8611
Iter: 48500, D: 1.293, G:0.8796
Iter: 48750, D: 1.31, G:0.8081
Iter: 49000, D: 1.313, G:0.9445
Iter: 49250, D: 1.334, G:0.9624
Iter: 49500, D: 1.242, G:0.8956
Iter: 49750, D: 1.258, G:0.9284
Iter: 50000, D: 1.272, G:0.9131
Iter: 50250, D: 1.236, G:1.011
Iter: 50500, D: 1.32, G:0.9826
Iter: 50750, D: 1.328, G:0.9828
Iter: 51000, D: 1.382, G:0.7655
Iter: 51250, D: 1.211, G:1.177
Iter: 51500, D: 1.321, G:0.7248
Iter: 51750, D: 1.276, G:0.8846
Iter: 52000, D: 1.251, G:0.7738
Iter: 52250, D: 1.174, G:1.051
Iter: 52500, D: 1.359, G:0.9287
Iter: 52750, D: 1.328, G:0.9754
Iter: 53000, D: 1.325, G:0.7944
Iter: 53250, D: 1.304, G:0.9406
Iter: 53500, D: 1.206, G:0.9864
Iter: 53750, D: 1.351, G:0.9561
Iter: 54000, D: 1.275, G:0.9194
Iter: 54250, D: 1.32, G:0.9705
Iter: 54500, D: 1.238, G:1.007
Iter: 54750, D: 1.317, G:1.169
Iter: 55000, D: 1.235, G:1.02
Iter: 55250, D: 1.289, G:0.7522
Iter: 55500, D: 1.326, G:0.8933
Iter: 55750, D: 1.284, G:0.9989
Iter: 56000, D: 1.276, G:0.8978
Iter: 56250, D: 1.311, G:1.021
Iter: 56500, D: 1.253, G:0.8178
Iter: 56750, D: 1.201, G:1.098
Iter: 57000, D: 1.344, G:0.9296
Iter: 57250, D: 1.338, G:0.9369
Iter: 57500, D: 1.21, G:0.9009
Iter: 57750, D: 1.181, G:0.9488
Iter: 58000, D: 1.255, G:1.003
Iter: 58250, D: 1.437, G:0.7041
Iter: 58500, D: 1.318, G:0.6659
Iter: 58750, D: 1.322, G:0.8932
Iter: 59000, D: 1.25, G:0.9041
Iter: 59250, D: 1.262, G:1.159
Iter: 59500, D: 1.273, G:0.8072
Iter: 59750, D: 1.279, G:0.9331
Iter: 60000, D: 1.269, G:0.8149
Iter: 60250, D: 1.263, G:0.9883
Iter: 60500, D: 1.333, G:0.9346
Iter: 60750, D: 1.235, G:0.894
Iter: 61000, D: 1.206, G:1.009
Iter: 61250, D: 1.357, G:0.718
Iter: 61500, D: 1.327, G:0.9008
Iter: 61750, D: 1.341, G:1.009
Iter: 62000, D: 1.263, G:1.092
Iter: 62250, D: 1.267, G:0.9079
Iter: 62500, D: 1.345, G:0.8324
Iter: 62750, D: 1.29, G:0.9247
Iter: 63000, D: 1.274, G:0.9206
Iter: 63250, D: 1.207, G:0.8618
Iter: 63500, D: 1.315, G:0.7923
Iter: 63750, D: 1.279, G:0.909
Iter: 64000, D: 1.241, G:1.026
Iter: 64250, D: 1.232, G:1.088
Iter: 64500, D: 1.229, G:1.133
Iter: 64750, D: 1.193, G:0.9614
Iter: 65000, D: 1.224, G:0.8977
Iter: 65250, D: 1.255, G:0.8493
Iter: 65500, D: 1.295, G:0.9591
Iter: 65750, D: 1.278, G:1.203
Iter: 66000, D: 1.351, G:0.6806
Iter: 66250, D: 1.198, G:1.089
Iter: 66500, D: 1.262, G:0.8715
Iter: 66750, D: 1.291, G:0.9606
Iter: 67000, D: 1.325, G:1.079
Iter: 67250, D: 1.197, G:0.9446
Iter: 67500, D: 1.326, G:0.8369
Iter: 67750, D: 1.255, G:0.9948
Iter: 68000, D: 1.336, G:1.142
Iter: 68250, D: 1.166, G:0.9705
Iter: 68500, D: 1.171, G:0.9765
Iter: 68750, D: 1.303, G:1.022
Iter: 69000, D: 1.29, G:0.9725
Iter: 69250, D: 1.297, G:1.042
Iter: 69500, D: 1.317, G:0.9538
Iter: 69750, D: 1.319, G:0.9146
Iter: 70000, D: 1.255, G:1.031
Iter: 70250, D: 1.221, G:0.9627
Iter: 70500, D: 1.281, G:0.969
Iter: 70750, D: 1.211, G:0.8376
Iter: 71000, D: 1.264, G:0.8626
Iter: 71250, D: 1.276, G:0.8711
Iter: 71500, D: 1.26, G:0.893
Iter: 71750, D: 1.271, G:0.8959
Iter: 72000, D: 1.281, G:1.135
Iter: 72250, D: 1.255, G:1.05
Iter: 72500, D: 1.208, G:0.9683
Iter: 72750, D: 1.217, G:1.0
Iter: 73000, D: 1.237, G:0.7576
Iter: 73250, D: 1.262, G:0.9297
Iter: 73500, D: 1.328, G:0.9821
Iter: 73750, D: 1.256, G:1.02
Iter: 74000, D: 1.257, G:0.9104
Iter: 74250, D: 1.402, G:0.8171
Iter: 74500, D: 1.322, G:0.7334
Iter: 74750, D: 1.243, G:0.8704
Iter: 75000, D: 1.287, G:1.028
Iter: 75250, D: 1.184, G:1.079
Iter: 75500, D: 1.186, G:0.8618
Iter: 75750, D: 1.185, G:1.056
Iter: 76000, D: 1.276, G:0.9819
Iter: 76250, D: 1.234, G:0.9258
Iter: 76500, D: 1.476, G:0.7241
Iter: 76750, D: 1.225, G:1.212
Iter: 77000, D: 1.275, G:0.907
Iter: 77250, D: 1.246, G:1.003
Iter: 77500, D: 1.303, G:0.978
Iter: 77750, D: 1.319, G:1.149
Iter: 78000, D: 1.247, G:0.943
